open_time,open_time UTC+7,open,high,low,close,volume,close_time,close_time UTC+7
1.63316E+12,2021-10-02 15:00:00,47725,47899.01,47478.44,47683.45,3471.37761,1.63318E+12,2021-10-02 19:00:00
1.63318E+12,2021-10-02 19:00:00,47683.46,48336.59,47616.8,47828.52,7082.00484,1.63319E+12,2021-10-02 23:00:00
1.63319E+12,2021-10-02 23:00:00,47831.94,48267,47650,48239.99,4984.54689,1.6332E+12,2021-10-03 03:00:00
1.6332E+12,2021-10-03 03:00:00,48240,48300,47500,47634.9,4397.53272,1.63322E+12,2021-10-03 07:00:00
1.63322E+12,2021-10-03 07:00:00,47634.89,47963,47088,47898.66,5228.21154,1.63323E+12,2021-10-03 11:00:00
1.63323E+12,2021-10-03 11:00:00,47894.44,48100,47788.34,47895.99,2555.92029,1.63325E+12,2021-10-03 15:00:00
1.63325E+12,2021-10-03 15:00:00,47896,48048,47600,47974.86,3925.68937,1.63326E+12,2021-10-03 19:00:00
1.63326E+12,2021-10-03 19:00:00,47974.86,48150,47799.18,47879.82,4201.8022,1.63328E+12,2021-10-03 23:00:00
1.63328E+12,2021-10-03 23:00:00,47879.81,49228.08,47821.96,48774.76,8607.23932,1.63329E+12,2021-10-04 03:00:00
1.63329E+12,2021-10-04 03:00:00,48774.76,48837.88,47601.89,48200.01,6306.19329,1.63331E+12,2021-10-04 07:00:00
1.63331E+12,2021-10-04 07:00:00,48200.01,48280.71,47336,47468.79,5884.57398,1.63332E+12,2021-10-04 11:00:00
1.63332E+12,2021-10-04 11:00:00,47468.79,47865.51,47234.21,47838.54,4578.42683,1.63333E+12,2021-10-04 15:00:00
1.63333E+12,2021-10-04 15:00:00,47838.54,47962.51,47352.77,47585.85,4662.09258,1.63335E+12,2021-10-04 19:00:00
1.63335E+12,2021-10-04 19:00:00,47585.84,48500,46891,47758.23,10791.88677,1.63336E+12,2021-10-04 23:00:00
1.63336E+12,2021-10-04 23:00:00,47758.22,49536.12,47694.41,49380,14116.14153,1.63338E+12,2021-10-05 03:00:00
1.63338E+12,2021-10-05 03:00:00,49380,49498.78,48556.09,49224.94,6763.37203,1.63339E+12,2021-10-05 07:00:00
1.63339E+12,2021-10-05 07:00:00,49224.93,49799,49022.4,49306.68,6864.56149,1.63341E+12,2021-10-05 11:00:00
1.63341E+12,2021-10-05 11:00:00,49306.68,49664.14,49088,49476.51,4989.66359,1.63342E+12,2021-10-05 15:00:00
1.63342E+12,2021-10-05 15:00:00,49476.52,50350,49376.06,49877.06,10294.60776,1.63344E+12,2021-10-05 19:00:00
